Sequence Length,Population Size,Num Generations,Crossover Rate,Differential Weight,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
8,20,25,1.0,0.5,0.03753866255283356,0.9998928308486938,0.49477875232696533,0.4798993766307831,0.03753866255283356,0.4046252369880676,1.0000613927841187
8,20,25,1.0,1.0,0.011277943849563599,0.9994385242462158,0.49948686361312866,0.499167799949646,0.011277943849563599,0.289706289768219,1.0000261068344116
8,20,25,1.0,2.0,0.004556156694889069,0.9996258616447449,0.4936407208442688,0.4677501916885376,0.004556156694889069,0.4330662488937378,0.9996984601020813
16,20,25,0.6,0.5,0.6800783276557922,0.9998169541358948,0.9974902868270874,0.9987587928771973,0.6800783276557922,0.9888639450073242,1.0000078678131104
16,20,25,0.6,1.0,0.6629672050476074,0.999701738357544,0.9989925622940063,0.9938979148864746,0.6629672050476074,0.9857640266418457,0.9996695518493652
16,20,25,0.6,2.0,0.6722680330276489,0.9995765686035156,0.9879816770553589,0.989160418510437,0.6722680330276489,0.9849004745483398,0.9994648098945618
16,20,25,0.8,0.5,0.6735974550247192,0.9998350143432617,0.996467649936676,0.9984930753707886,0.6735974550247192,0.9897855520248413,1.000025987625122
16,20,25,0.8,1.0,0.6636373996734619,0.9998494386672974,0.989384651184082,0.9954876899719238,0.6636373996734619,0.9817315340042114,0.9999430179595947
16,20,25,0.8,2.0,0.6318073272705078,0.9998346567153931,0.9945197105407715,0.990217924118042,0.6318073272705078,0.9838722944259644,0.999558687210083
16,20,25,1.0,0.5,0.6651606559753418,0.9999790787696838,0.9875326156616211,0.995751142501831,0.6651606559753418,0.9818602204322815,1.000035285949707
16,20,25,1.0,1.0,0.7055951356887817,0.9996699094772339,0.9935342073440552,0.9934974312782288,0.7055951356887817,0.97504723072052,0.9996913075447083
16,20,25,1.0,2.0,0.6926357746124268,0.9998579025268555,0.9844201803207397,0.978820264339447,0.6926357746124268,0.9779931306838989,0.9992681741714478
32,20,25,0.6,0.5,0.9991216063499451,0.9993590116500854,0.9991216063499451,0.9996052980422974,0.9994006156921387,0.9995158910751343,0.999375581741333
32,20,25,0.6,1.0,0.9974185228347778,0.9980937242507935,0.9974185228347778,0.9995356798171997,0.9983733892440796,0.9988341927528381,0.9985144138336182
32,20,25,0.6,2.0,0.996149480342865,0.9965828061103821,0.9981318712234497,0.9982851147651672,0.9991104602813721,0.996149480342865,0.996150016784668
32,20,25,0.8,0.5,0.9993114471435547,0.9993114471435547,0.9995726346969604,0.9993903636932373,0.9996144771575928,0.9995671510696411,0.9995855093002319
32,20,25,0.8,1.0,0.997538685798645,0.9989400506019592,0.9975649118423462,0.997538685798645,0.9991204142570496,0.999525785446167,0.9994170665740967
32,20,25,0.8,2.0,0.9962865114212036,0.9981502890586853,0.9980310201644897,0.9962865114212036,0.9970083236694336,0.9989254474639893,0.9966735243797302
