Population Size,Num Generations,Crossover Rate,Differential Weight,Sequence Length,Init Sol Type,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
20,13,0.9,0.8,128,normal_distro,0.9632014036178589,0.9803779721260071,0.9632014036178589,0.963997483253479,0.9858354926109314,0.9728343486785889,0.9723514318466187
20,13,0.9,0.4,128,normal_distro,0.9630503058433533,0.9869569540023804,0.9777175784111023,0.9860565662384033,0.9630503058433533,0.9863438606262207,0.9870697259902954
20,25,0.9,0.8,16,uniform_distro,0.9628092050552368,0.9889204502105713,0.9628092050552368,0.9771439433097839,0.9738185405731201,0.9845615029335022,0.9888166785240173
20,25,0.225,1.6,128,uniform_distro,0.9626461267471313,0.9626461267471313,0.9805081486701965,0.9735547304153442,0.9703356027603149,0.9883768558502197,0.9904492497444153
10,25,0.45,1.6,8,uniform_distro,0.9625412225723267,0.9659475088119507,0.9625412225723267,0.9631070494651794,0.9726490378379822,0.9799734354019165,0.974905252456665
10,25,0.9,1.6,64,normal_distro,0.9618706107139587,0.9663728475570679,0.9772546887397766,0.9862974286079407,0.9618706107139587,0.977114200592041,0.9666035175323486
20,6,0.45,1.6,8,normal_distro,0.9617908000946045,0.9617908000946045,0.9909861087799072,0.9697215557098389,0.9803680777549744,0.9672436118125916,0.9920948147773743
20,25,0.9,0.8,64,uniform_distro,0.9614810943603516,0.9614810943603516,0.9864888787269592,0.982042133808136,0.9663734436035156,0.9725114107131958,0.9732729196548462
10,13,0.9,0.4,128,normal_distro,0.9614313244819641,0.9863849878311157,0.9807089567184448,0.9787754416465759,0.9614313244819641,0.9739186763763428,0.9852353930473328
20,25,0.45,1.6,16,normal_distro,0.9611389636993408,0.9854600429534912,0.9804356098175049,0.9611389636993408,0.9661343693733215,0.9698105454444885,0.993227481842041
5,25,0.225,0.8,32,normal_distro,0.9610412120819092,0.9814175367355347,0.9775681495666504,0.9622623920440674,0.9798260927200317,0.9941827058792114,0.9610412120819092
20,25,0.225,0.4,8,normal_distro,0.9606280326843262,0.9780250191688538,0.971327543258667,0.977573037147522,0.9606280326843262,0.994953989982605,0.9905864000320435
10,25,0.9,0.8,8,normal_distro,0.9601610898971558,0.9960225820541382,0.9756240844726562,0.9730100035667419,0.9759311676025391,0.9810535311698914,0.9601610898971558
20,25,0.9,1.6,128,uniform_distro,0.9601014852523804,0.994478166103363,0.974149763584137,0.9829105138778687,0.9831088185310364,0.9601014852523804,0.9746667146682739
20,25,0.45,1.6,128,normal_distro,0.9600001573562622,0.9667400121688843,0.9748364686965942,0.9876392483711243,0.963057279586792,0.9771621227264404,0.9600001573562622
20,25,0.45,0.4,4,uniform_distro,0.959078311920166,0.9853100776672363,0.965408980846405,0.996660590171814,0.959078311920166,0.9798765182495117,0.9819760322570801
20,25,0.9,0.8,128,uniform_distro,0.9580190777778625,0.9802623987197876,0.9580190777778625,0.9839270710945129,0.9725037813186646,0.9804706573486328,0.9657215476036072
20,25,0.45,0.4,8,normal_distro,0.9579982757568359,0.9902114868164062,0.9579982757568359,0.9737250208854675,0.9635703563690186,0.9896581172943115,0.9633350968360901
10,25,0.45,0.4,8,uniform_distro,0.9577704668045044,0.9811920523643494,0.9611198902130127,0.9911108016967773,0.9577704668045044,0.9916449785232544,0.9589268565177917
10,25,0.225,0.8,4,uniform_distro,0.9576256275177002,0.9824825525283813,0.995813250541687,0.9576256275177002,0.9700812697410583,0.9908685684204102,0.9840325117111206
20,25,0.45,1.6,4,normal_distro,0.9574291706085205,0.9966580867767334,0.9574291706085205,0.9979165196418762,0.9693638682365417,0.9908015727996826,0.9899635910987854
