Sequence Length,Std,Population Size,Num Generations,Crossover Rate,Elitism Rate,Init Sol Type,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
512,0.03125,10,6,0.4,0.24,uniform_distro,0.8203563690185547,0.9384749531745911,0.8203563690185547,0.9415552020072937,0.9156818389892578,0.9279906749725342,0.8621894121170044
512,0.03125,10,6,0.4,0.24,normal_distro,-0.12881706655025482,0.9343141913414001,0.5267812013626099,-0.12881706655025482,0.07217898964881897,0.27105605602264404,0.9191155433654785
512,0.03125,10,6,0.8,0.06,noiseless_ideal,0.9403946399688721,0.9468006491661072,0.9515519142150879,0.9403946399688721,0.950098991394043,0.9526745080947876,0.9552199840545654
512,0.03125,10,6,0.8,0.06,uniform_distro,0.7554967999458313,0.9075341820716858,0.7554967999458313,0.8423566818237305,0.8752177953720093,0.8682395219802856,0.9458196759223938
512,0.03125,10,6,0.8,0.06,normal_distro,-0.36335426568984985,0.934368371963501,0.5377668738365173,-0.36335426568984985,0.06458503752946854,0.26750221848487854,0.9312960505485535
512,0.03125,10,6,0.8,0.12,noiseless_ideal,0.9434143900871277,0.9434143900871277,0.952194333076477,0.945182204246521,0.9558166861534119,0.9527163505554199,0.9563368558883667
512,0.03125,10,6,0.8,0.12,uniform_distro,0.6950982809066772,0.7888489961624146,0.92153000831604,0.9012754559516907,0.7093903422355652,0.6950982809066772,0.8870750665664673
512,0.03125,10,6,0.8,0.12,normal_distro,-0.30135077238082886,0.9365449547767639,0.42301255464553833,-0.30135077238082886,0.060575902462005615,0.26261353492736816,0.9256282448768616
512,0.03125,10,6,0.8,0.24,noiseless_ideal,0.9385883808135986,0.9498714208602905,0.9385883808135986,0.9390532374382019,0.9549329876899719,0.9519610404968262,0.9588230848312378
512,0.03125,10,6,0.8,0.24,uniform_distro,0.7220554947853088,0.8384371995925903,0.9056168794631958,0.8972105383872986,0.8884875178337097,0.7220554947853088,0.9069473147392273
512,0.03125,10,6,0.8,0.24,normal_distro,-0.276693195104599,0.936953067779541,0.5055814981460571,-0.276693195104599,0.0940646082162857,0.24568772315979004,0.9316036701202393
512,0.03125,10,13,0.2,0.06,noiseless_ideal,0.9449953436851501,0.9469192028045654,0.9512472152709961,0.9449953436851501,0.9564297199249268,0.9531427621841431,0.9606969356536865
512,0.03125,10,13,0.2,0.06,uniform_distro,0.7105789184570312,0.7947779297828674,0.7105789184570312,0.8066534996032715,0.7409893274307251,0.94173663854599,0.9146921634674072
512,0.03125,10,13,0.2,0.06,normal_distro,0.005957387387752533,0.9303239583969116,0.3898264169692993,0.005957387387752533,0.1656055748462677,0.2731315791606903,0.9012174010276794
512,0.03125,10,13,0.2,0.12,noiseless_ideal,0.9482513666152954,0.9514510631561279,0.9489169120788574,0.9482513666152954,0.9542086124420166,0.9501757621765137,0.9562726020812988
512,0.03125,10,13,0.2,0.12,uniform_distro,0.7287032008171082,0.9050217270851135,0.7287032008171082,0.8400058746337891,0.8283061981201172,0.7698421478271484,0.8122250437736511
512,0.03125,10,13,0.2,0.12,normal_distro,-0.1811670958995819,0.9357935190200806,0.6086189150810242,-0.1811670958995819,0.17476241290569305,0.295497328042984,0.9339233040809631
512,0.03125,10,13,0.2,0.24,noiseless_ideal,0.9466972947120667,0.9505791664123535,0.952234148979187,0.9466972947120667,0.9528563022613525,0.95296311378479,0.9585860371589661
512,0.03125,10,13,0.2,0.24,uniform_distro,0.681361734867096,0.9456543922424316,0.8063129186630249,0.9421654939651489,0.9503636360168457,0.9243259429931641,0.681361734867096
512,0.03125,10,13,0.2,0.24,normal_distro,0.1812714785337448,0.9392393827438354,0.6005426645278931,0.5457903146743774,0.1812714785337448,0.2640533149242401,0.9341266751289368
512,0.03125,10,13,0.4,0.06,noiseless_ideal,0.9443737268447876,0.9511393904685974,0.9500939249992371,0.9443737268447876,0.9536009430885315,0.951769232749939,0.9569509029388428
512,0.03125,10,13,0.4,0.06,uniform_distro,0.7357988357543945,0.9139678478240967,0.9477745294570923,0.9422957897186279,0.7357988357543945,0.9533483386039734,0.9155660271644592
512,0.03125,10,13,0.4,0.06,normal_distro,-0.2233709692955017,0.9415100812911987,0.3845360279083252,-0.2233709692955017,0.1648775190114975,0.27603909373283386,0.9390996694564819
512,0.03125,10,13,0.4,0.12,noiseless_ideal,0.9466719627380371,0.9487935900688171,0.9551519751548767,0.9466719627380371,0.9543812870979309,0.9530974626541138,0.9569011926651001
512,0.03125,10,13,0.4,0.12,uniform_distro,0.5532155632972717,0.9422073364257812,0.9401853084564209,0.946515679359436,0.9377999305725098,0.8978458642959595,0.5532155632972717
512,0.03125,10,13,0.4,0.12,normal_distro,0.1823280155658722,0.9410595297813416,0.39040374755859375,0.19411349296569824,0.1823280155658722,0.31705009937286377,0.9405983686447144
512,0.03125,10,13,0.4,0.24,noiseless_ideal,0.946168839931488,0.9472835063934326,0.9474950432777405,0.946168839931488,0.9552096724510193,0.9555608034133911,0.9561395049095154
512,0.03125,10,13,0.4,0.24,uniform_distro,0.7675389051437378,0.9248056411743164,0.8751524686813354,0.7675389051437378,0.9413734674453735,0.8531656265258789,0.9397753477096558
512,0.03125,10,13,0.4,0.24,normal_distro,-0.004598677158355713,0.9362555146217346,0.5176461338996887,-0.004598677158355713,0.19340772926807404,0.4022662043571472,0.9393314123153687
512,0.03125,10,13,0.8,0.06,noiseless_ideal,0.9468536972999573,0.9532790184020996,0.9471056461334229,0.9468536972999573,0.9523013830184937,0.9541884660720825,0.9622763395309448
512,0.03125,10,13,0.8,0.06,uniform_distro,0.5567476749420166,0.9370297789573669,0.8224384784698486,0.8971834182739258,0.5567476749420166,0.8535048961639404,0.905711829662323
512,0.03125,10,13,0.8,0.06,normal_distro,0.09200706332921982,0.9408673048019409,0.5223233699798584,0.1162365972995758,0.09200706332921982,0.26870518922805786,0.9317629337310791
512,0.03125,10,13,0.8,0.12,noiseless_ideal,0.9465346336364746,0.9477031826972961,0.9520672559738159,0.9465346336364746,0.955249547958374,0.9486465454101562,0.9557859897613525
512,0.03125,10,13,0.8,0.12,uniform_distro,0.8935317397117615,0.9530997276306152,0.9330072999000549,0.8935317397117615,0.948714554309845,0.9432353377342224,0.9347044229507446
