Sequence Length,Num Iters,Std,Init Sol Type,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
64,500,0.03125,noiseless_ideal,0.9944654107093811,0.9975908398628235,0.9968003630638123,0.9944654107093811,0.9955688714981079,0.9963098168373108,0.9965997934341431
64,1000,0.03125,noiseless_ideal,0.9944642782211304,0.9980683922767639,0.9964724183082581,0.9944642782211304,0.9947307109832764,0.9955549240112305,0.9965251684188843
64,500,0.25,noiseless_ideal,0.9944405555725098,0.9946921467781067,0.9958817958831787,0.9946894645690918,0.9944405555725098,0.9952802658081055,0.9964931011199951
64,125,0.125,noiseless_ideal,0.9944310188293457,0.9947491884231567,0.9960078597068787,0.9944310188293457,0.9946474432945251,0.9953067302703857,0.9966046214103699
64,500,0.125,noiseless_ideal,0.9944279789924622,0.9947652816772461,0.9959256649017334,0.9946684241294861,0.9944279789924622,0.9955722093582153,0.9966523051261902
32,250,0.25,noiseless_ideal,0.9944258332252502,0.9958111047744751,0.9979041218757629,0.9944258332252502,0.9990963935852051,0.9985856413841248,0.9954947233200073
64,125,0.03125,noiseless_ideal,0.9944126009941101,0.9957184791564941,0.9959423542022705,0.9944705963134766,0.9944126009941101,0.9956083297729492,0.9966151714324951
8,125,0.03125,noiseless_ideal,0.9944015741348267,0.9952255487442017,0.9970595836639404,0.997897744178772,0.9984776973724365,0.9958074688911438,0.9944015741348267
32,250,0.125,noiseless_ideal,0.9943934679031372,0.9958630800247192,0.9979044198989868,0.9943934679031372,0.9990809559822083,0.9985380172729492,0.995441734790802
64,250,0.0625,noiseless_ideal,0.9943861365318298,0.9963971972465515,0.9958415031433105,0.9946132898330688,0.9943861365318298,0.9951986074447632,0.9965204000473022
64,125,0.25,noiseless_ideal,0.9943854808807373,0.9947001934051514,0.9957782030105591,0.9947125911712646,0.9943854808807373,0.9954627156257629,0.9965018033981323
32,125,0.125,noiseless_ideal,0.9943666458129883,0.9958526492118835,0.9979385137557983,0.9943666458129883,0.9990832805633545,0.9985365271568298,0.9955393671989441
64,125,0.0625,noiseless_ideal,0.9943473935127258,0.9947400689125061,0.9958666563034058,0.9943473935127258,0.9945500493049622,0.9957170486450195,0.9965637922286987
64,500,0.0625,noiseless_ideal,0.9943466186523438,0.9948428273200989,0.9958721995353699,0.994515597820282,0.9943466186523438,0.9953505992889404,0.9965747594833374
32,1000,0.25,noiseless_ideal,0.994345486164093,0.9958263635635376,0.997905969619751,0.994345486164093,0.9990918636322021,0.998503565788269,0.9955003261566162
32,500,0.125,noiseless_ideal,0.9943386912345886,0.9958319664001465,0.9969638586044312,0.9943386912345886,0.9990770220756531,0.9984859228134155,0.9955866932868958
64,250,0.25,noiseless_ideal,0.9943341016769409,0.9946770668029785,0.9957872629165649,0.9946146607398987,0.9943341016769409,0.9954409003257751,0.9965246915817261
32,250,0.0625,noiseless_ideal,0.9943302869796753,0.9958009123802185,0.9978875517845154,0.9943302869796753,0.9990831017494202,0.9986110925674438,0.9955583810806274
64,1000,0.25,noiseless_ideal,0.9943212866783142,0.9946006536483765,0.9958245754241943,0.9945006370544434,0.9943212866783142,0.9953207969665527,0.9967046976089478
32,1000,0.125,noiseless_ideal,0.994303822517395,0.9959321618080139,0.9979420304298401,0.994303822517395,0.9991250038146973,0.9985789060592651,0.9955168962478638
32,125,0.25,noiseless_ideal,0.9942901730537415,0.9957930445671082,0.9978969097137451,0.9942901730537415,0.9990618824958801,0.9986282587051392,0.9955334663391113
32,500,0.25,noiseless_ideal,0.994287371635437,0.9958034753799438,0.9979469776153564,0.994287371635437,0.9991025924682617,0.9985548257827759,0.9955471754074097
32,125,0.0625,noiseless_ideal,0.9942822456359863,0.9958741664886475,0.9978808164596558,0.9942822456359863,0.9991009831428528,0.9986165761947632,0.9955685138702393
64,250,0.03125,noiseless_ideal,0.9942706823348999,0.9972894191741943,0.9956299066543579,0.9961590766906738,0.9942706823348999,0.9954195618629456,0.9966996908187866
64,1000,0.0625,noiseless_ideal,0.9942577481269836,0.9967290163040161,0.9958933591842651,0.9946232438087463,0.9942577481269836,0.9954293370246887,0.9965485334396362
8,1000,0.0625,noiseless_ideal,0.9942254424095154,0.9942254424095154,0.9990026950836182,0.9974151849746704,0.9985026121139526,0.9979747533798218,0.9981838464736938
8,500,0.03125,noiseless_ideal,0.9941886067390442,0.9947584271430969,0.9971938133239746,0.9975049495697021,0.9984408020973206,0.9964010715484619,0.9941886067390442
32,1000,0.03125,normal_distro,0.9941211342811584,0.9963078498840332,0.9956754446029663,0.9941211342811584,0.9964459538459778,0.9960324764251709,0.9961974620819092
64,500,0.03125,uniform_distro,0.9939305186271667,0.9973430633544922,0.9939305186271667,0.9959602952003479,0.9950662851333618,0.9962274432182312,0.9959462881088257
4,250,0.03125,noiseless_ideal,0.9938952326774597,0.9952533841133118,0.9977433681488037,0.9971929788589478,0.9952752590179443,0.9938952326774597,0.994810163974762
32,500,0.03125,normal_distro,0.993810772895813,0.9950575232505798,0.993810772895813,0.9951081275939941,0.9951467514038086,0.9962016344070435,0.9957802891731262
16,125,0.03125,noiseless_ideal,0.993806779384613,0.9970434308052063,0.9973450899124146,0.9967518448829651,0.9955055713653564,0.9944077730178833,0.993806779384613
8,1000,0.03125,uniform_distro,0.9935414791107178,0.9935414791107178,0.9983465671539307,0.99710613489151,0.9955993294715881,0.9982427954673767,0.9970331192016602
4,1000,0.0625,noiseless_ideal,0.9934794306755066,0.9955573081970215,0.9994475841522217,0.9984095096588135,0.9934794306755066,0.994680643081665,0.9963967204093933
4,500,0.03125,noiseless_ideal,0.9932155609130859,0.9992613792419434,0.9988802671432495,0.9965072870254517,0.9932568073272705,0.9932155609130859,0.9983915090560913
4,500,0.03125,uniform_distro,0.9931759238243103,0.9972572326660156,0.9949938058853149,0.9931759238243103,0.9971540570259094,0.9932067394256592,0.9975288510322571
16,1000,0.0625,noiseless_ideal,0.9928762316703796,0.9983698129653931,0.9973453283309937,0.9970290660858154,0.9955909252166748,0.9928762316703796,0.9932916164398193
16,1000,0.125,noiseless_ideal,0.9928702712059021,0.9970487356185913,0.997421145439148,0.9966690540313721,0.9955449104309082,0.9928702712059021,0.9936580657958984
8,1000,0.03125,normal_distro,0.99261474609375,0.9984843730926514,0.9974429607391357,0.99261474609375,0.9942843317985535,0.9959257245063782,0.9958568811416626
64,125,0.03125,uniform_distro,0.9924730062484741,0.9924730062484741,0.9948146343231201,0.9963310956954956,0.996171236038208,0.9946981072425842,0.9959832429885864
64,500,0.0625,uniform_distro,0.9922922253608704,0.9938082695007324,0.9926081895828247,0.9922922253608704,0.9951467514038086,0.9939098954200745,0.9932979345321655
8,500,0.0625,noiseless_ideal,0.9919922351837158,0.9936417937278748,0.9972840547561646,0.9974029064178467,0.9984521865844727,0.9919922351837158,0.9947386384010315
