Sequence Length,Std,Population Size,Num Generations,Crossover Rate,Elitism Rate,Init Sol Type,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
4,0.03125,10,6,0.4,0.24,uniform_distro,0.8249813318252563,0.9929373264312744,0.8249813318252563,0.9928928017616272,0.9929652214050293,0.9305030107498169,0.9907470345497131
4,0.03125,10,6,0.4,0.24,normal_distro,0.8271095156669617,0.9372004270553589,0.9139623641967773,0.9590723514556885,0.8391512632369995,0.8271095156669617,0.9848734736442566
4,0.03125,10,6,0.8,0.06,noiseless_ideal,0.9367591142654419,0.9660806059837341,0.9620405435562134,0.9699496626853943,0.9367591142654419,0.940837025642395,0.9728503227233887
4,0.03125,10,6,0.8,0.06,uniform_distro,0.837052583694458,0.9117668867111206,0.9758236408233643,0.9118034243583679,0.837052583694458,0.8837258815765381,0.9554315209388733
4,0.03125,10,6,0.8,0.06,normal_distro,0.9268791675567627,0.9720132350921631,0.9268791675567627,0.9280611276626587,0.9843899607658386,0.9791419506072998,0.9578074812889099
4,0.03125,10,6,0.8,0.12,noiseless_ideal,0.859841525554657,0.859841525554657,0.9659132957458496,0.9703282117843628,0.9681050181388855,0.9937088489532471,0.9592053890228271
4,0.03125,10,6,0.8,0.12,uniform_distro,0.7646510601043701,0.8962424397468567,0.9912257194519043,0.9086753726005554,0.82855224609375,0.9480315446853638,0.7646510601043701
4,0.03125,10,6,0.8,0.12,normal_distro,0.651861846446991,0.8708540201187134,0.8217406868934631,0.651861846446991,0.9814415574073792,0.9720547199249268,0.956013023853302
4,0.03125,10,6,0.8,0.24,noiseless_ideal,0.9492719173431396,0.9939107298851013,0.9722455739974976,0.959926187992096,0.9868745803833008,0.9832320213317871,0.9492719173431396
4,0.03125,10,6,0.8,0.24,uniform_distro,0.691961944103241,0.9403371214866638,0.9670571088790894,0.791501522064209,0.9456558227539062,0.691961944103241,0.8262711763381958
4,0.03125,10,6,0.8,0.24,normal_distro,0.8932510614395142,0.9506586790084839,0.978283703327179,0.932320773601532,0.9254154562950134,0.9560866355895996,0.8932510614395142
4,0.03125,10,13,0.2,0.06,noiseless_ideal,0.9548323154449463,0.9924836158752441,0.9548323154449463,0.9821420907974243,0.9982704520225525,0.9817227125167847,0.9839449524879456
4,0.03125,10,13,0.2,0.06,uniform_distro,0.8548831939697266,0.9754139184951782,0.9901572465896606,0.904354453086853,0.8548831939697266,0.9461437463760376,0.9678745865821838
4,0.03125,10,13,0.2,0.06,normal_distro,0.9405542612075806,0.9405542612075806,0.99139803647995,0.9414030313491821,0.9655869007110596,0.9894163012504578,0.9773366451263428
4,0.03125,10,13,0.2,0.12,noiseless_ideal,0.9335073232650757,0.9869918823242188,0.9882413744926453,0.9726048707962036,0.9345904588699341,0.9699164628982544,0.9335073232650757
4,0.03125,10,13,0.2,0.12,uniform_distro,0.9375327825546265,0.9708670973777771,0.950371265411377,0.9842665195465088,0.9375327825546265,0.956584095954895,0.9804425239562988
4,0.03125,10,13,0.2,0.12,normal_distro,0.9423147439956665,0.9609257578849792,0.9423147439956665,0.9824910163879395,0.9449966549873352,0.9793236255645752,0.9567708969116211
4,0.03125,10,13,0.2,0.24,noiseless_ideal,0.9695103168487549,0.992098331451416,0.9882696866989136,0.9872496128082275,0.9695103168487549,0.9733083844184875,0.9935954213142395
4,0.03125,10,13,0.2,0.24,uniform_distro,0.9142476320266724,0.9724301099777222,0.9832117557525635,0.9428632855415344,0.9142476320266724,0.9731869697570801,0.9949343204498291
4,0.03125,10,13,0.2,0.24,normal_distro,0.9351662397384644,0.9907150268554688,0.9806591272354126,0.961991548538208,0.9957147836685181,0.9351662397384644,0.9684556722640991
4,0.03125,10,13,0.4,0.06,noiseless_ideal,0.9466525912284851,0.9951589703559875,0.988345742225647,0.9890261292457581,0.9466525912284851,0.9494733810424805,0.9885557293891907
4,0.03125,10,13,0.4,0.06,uniform_distro,0.8466525673866272,0.9125311374664307,0.986783504486084,0.972392201423645,0.8466525673866272,0.9931434392929077,0.9985401034355164
4,0.03125,10,13,0.4,0.06,normal_distro,0.9004122018814087,0.9665543437004089,0.9004122018814087,0.9698809385299683,0.9760468006134033,0.9469468593597412,0.9814774990081787
4,0.03125,10,13,0.4,0.12,noiseless_ideal,0.9719775915145874,0.9974249005317688,0.9932492971420288,0.9934439659118652,0.9719775915145874,0.9979161024093628,0.990946888923645
4,0.03125,10,13,0.4,0.12,uniform_distro,0.6461135149002075,0.9436009526252747,0.9751269817352295,0.6461135149002075,0.9832451343536377,0.9529310464859009,0.9394111037254333
4,0.03125,10,13,0.4,0.12,normal_distro,0.9245103597640991,0.9625899791717529,0.9245103597640991,0.9546627998352051,0.9476396441459656,0.9811515808105469,0.9884724617004395
4,0.03125,10,13,0.4,0.24,noiseless_ideal,0.9567244052886963,0.9935302734375,0.9844948649406433,0.9946138262748718,0.9910962581634521,0.9779831767082214,0.9567244052886963
4,0.03125,10,13,0.4,0.24,uniform_distro,0.935413122177124,0.9951862692832947,0.9791878461837769,0.9817452430725098,0.935413122177124,0.9768565893173218,0.961959958076477
4,0.03125,10,13,0.4,0.24,normal_distro,0.8806188106536865,0.9855563640594482,0.94413161277771,0.8806188106536865,0.9778611063957214,0.9344801902770996,0.982304573059082
4,0.03125,10,13,0.8,0.06,noiseless_ideal,0.9150170087814331,0.9591425657272339,0.965010941028595,0.9822197556495667,0.9566913843154907,0.9633074998855591,0.9150170087814331
4,0.03125,10,13,0.8,0.06,uniform_distro,0.9195395708084106,0.9464244246482849,0.9195395708084106,0.9916486144065857,0.9876571893692017,0.9590057134628296,0.9440981149673462
4,0.03125,10,13,0.8,0.06,normal_distro,0.955520749092102,0.983080267906189,0.955520749092102,0.9869349002838135,0.966199517250061,0.9633245468139648,0.9742917418479919
4,0.03125,10,13,0.8,0.12,noiseless_ideal,0.9297099113464355,0.9829509854316711,0.9297099113464355,0.9919986724853516,0.958959698677063,0.9968436360359192,0.9921547174453735
4,0.03125,10,13,0.8,0.12,uniform_distro,0.901951253414154,0.9913948774337769,0.9973723292350769,0.95964515209198,0.9624499082565308,0.901951253414154,0.9239782094955444
4,0.03125,10,13,0.8,0.12,normal_distro,0.9250367283821106,0.9883284568786621,0.9705086350440979,0.9367936849594116,0.9336932301521301,0.9508073925971985,0.9250367283821106
