Mutation Max Amount,Mutation Rate,Crossover Rate,Elitism Rate,Sequence Length,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
0.125,0.5,0.125,0.25,128,0.9644179940223694,0.9850069284439087,0.9644179940223694,0.9829010963439941,0.9724017977714539,0.9855085611343384,0.9862561225891113
0.125,0.125,0.125,0.25,256,0.9642468094825745,0.9706157445907593,0.9642468094825745,0.9643502831459045,0.9668962955474854,0.9668899178504944,0.9693408012390137
0.25,0.125,0.25,0.5,128,0.9640909433364868,0.9754652976989746,0.9818891882896423,0.9869798421859741,0.9640909433364868,0.9888371229171753,0.9844590425491333
0.125,0.25,0.25,0.5,256,0.9640585780143738,0.9698255062103271,0.967616081237793,0.9744740128517151,0.9640585780143738,0.9709440469741821,0.9709856510162354
0.5,0.125,0.125,0.5,128,0.9638950228691101,0.9750645160675049,0.9774889945983887,0.9806641340255737,0.9728125333786011,0.9638950228691101,0.9798152446746826
0.125,0.25,0.125,0.125,128,0.9636854529380798,0.9854358434677124,0.9780079126358032,0.9854675531387329,0.9636854529380798,0.9887717366218567,0.986298143863678
0.125,0.25,0.125,0.25,128,0.9632203578948975,0.9740786552429199,0.9632203578948975,0.9718766212463379,0.9832901954650879,0.9767316579818726,0.983065128326416
0.25,0.25,0.25,0.125,128,0.9627599716186523,0.9627599716186523,0.9831008911132812,0.9661163687705994,0.9727969169616699,0.9816462993621826,0.9819515943527222
0.25,0.25,0.25,0.25,128,0.9627033472061157,0.9804947972297668,0.9875138998031616,0.9664175510406494,0.983738899230957,0.9627033472061157,0.9831943511962891
0.125,0.5,0.125,0.25,256,0.9619669318199158,0.9672398567199707,0.9669989347457886,0.9619669318199158,0.9694947004318237,0.9697662591934204,0.9701783061027527
0.125,0.5,0.5,0.125,128,0.961294412612915,0.9843836426734924,0.9735377430915833,0.9778990745544434,0.961294412612915,0.9786076545715332,0.9837476015090942
0.125,0.125,0.5,0.125,128,0.9611737132072449,0.9835922718048096,0.9747843742370605,0.9843146800994873,0.9611737132072449,0.9858983755111694,0.9853382706642151
0.125,0.25,0.5,0.125,256,0.9610755443572998,0.9681463241577148,0.9714930057525635,0.9630790948867798,0.9610755443572998,0.9654603004455566,0.9687349200248718
